Employee_ID,Employee_Name,Phone_number,Shift,Area_Code
10111,John Smith,9933432921,9:00-13:00,201301
10112,Robert ,3914323431,10:00-13:00,201304
10113,Will,8884923312,16:00-20:00,110006
10114,Rakesh,9090991023,12:00-16:00,110076
10115,Kumaar,8292231231,8:00-12:00,201103
10116,Arbind,7318341312,11:00-13:00,120331
10117,Saurabh,8887567456,12:00-17:30,110087
10118,Ram Kumar,1230232331,10:30-18:00,110011
10119,Shiv,3213233123,11:30-15:30,201893
10120,Lakshay,4355634545,13:00-19:00,121232
10121,Rohan,9990999701,11:45-15:00,877391
10111,JohnSmith,9933432921,9:00-13:00,201301
10113,Will,8884923312,16:00-20:00,110006
10114,Rakesh,9090991023,12:00-16:00,11007610113,Will,8884923312,16:00-20:00,110006
10114,Rakesh,9090991023,12:00-16:00,110076
